split,label,class_name,count
train,0,Company,36000
validation,0,Company,4000
train,1,EducationalInstitution,36000
validation,1,EducationalInstitution,4000
train,2,Artist,36000
validation,2,Artist,4000
train,3,Athlete,36000
validation,3,Athlete,4000
train,4,OfficeHolder,36000
validation,4,OfficeHolder,4000
train,5,MeanOfTransportation,36000
validation,5,MeanOfTransportation,4000
train,6,Building,36000
validation,6,Building,4000
train,7,NaturalPlace,36000
validation,7,NaturalPlace,4000
train,8,Village,36000
validation,8,Village,4000
train,9,Animal,36000
validation,9,Animal,4000
train,10,Plant,36000
validation,10,Plant,4000
train,11,Album,36000
validation,11,Album,4000
train,12,Film,36000
validation,12,Film,4000
train,13,WrittenWork,36000
validation,13,WrittenWork,4000
test,0,Company,5000
test,1,EducationalInstitution,5000
test,2,Artist,5000
test,3,Athlete,5000
test,4,OfficeHolder,5000
test,5,MeanOfTransportation,5000
test,6,Building,5000
test,7,NaturalPlace,5000
test,8,Village,5000
test,9,Animal,5000
test,10,Plant,5000
test,11,Album,5000
test,12,Film,5000
test,13,WrittenWork,5000
