model_name,epoch,train_loss,validation_loss,is_best_epoch,is_latest_epoch
"CLS Pooling, 2L, d_model=128, 4H, d_ff=512",2,0.0331,0.063,0,0
"CLS Pooling, 2L, d_model=128, 4H, d_ff=512",3,0.0181,0.0641,1,0
"CLS Pooling, 2L, d_model=128, 4H, d_ff=512",4,0.0103,0.0767,0,0
"CLS Pooling, 2L, d_model=128, 4H, d_ff=512",5,0.0062,0.0822,0,0
"CLS Pooling, 2L, d_model=128, 4H, d_ff=512",6,0.0046,0.0957,0,0
"CLS Pooling, 2L, d_model=128, 4H, d_ff=512",7,0.0034,0.1108,0,0
"CLS Pooling, 2L, d_model=128, 4H, d_ff=512",8,0.0033,0.1027,0,1
"CLS Pooling, 4L, d_model=256, 8H, d_ff=1024",1,0.1084539015831884,0.05912694826349616,0,0
"CLS Pooling, 4L, d_model=256, 8H, d_ff=1024",2,0.03508519305423316,0.06094763046749202,1,0
"CLS Pooling, 4L, d_model=256, 8H, d_ff=1024",3,0.01986754268453464,0.06266314210589709,0,0
"CLS Pooling, 4L, d_model=256, 8H, d_ff=1024",4,0.01096495479620376,0.07298139530476848,0,0
"CLS Pooling, 4L, d_model=256, 8H, d_ff=1024",5,0.006654096879243587,0.08557407373559961,0,0
"CLS Pooling, 4L, d_model=256, 8H, d_ff=1024",6,0.0045274191572047245,0.09250669982507992,0,0
"CLS Pooling, 4L, d_model=256, 8H, d_ff=1024",7,0.003404384515695595,0.10155487847101176,0,0
"CLS Pooling, 4L, d_model=256, 8H, d_ff=1024",8,0.002621155295285274,0.10736576894921901,0,1
"Mean Pooling, 2L, d_model=128, 4H, d_ff=512",1,0.09284668871933328,0.05566499173341851,0,0
"Mean Pooling, 2L, d_model=128, 4H, d_ff=512",2,0.030472281865102962,0.05778250181558542,1,0
"Mean Pooling, 2L, d_model=128, 4H, d_ff=512",3,0.015612370879102926,0.06387334066255218,0,0
"Mean Pooling, 2L, d_model=128, 4H, d_ff=512",4,0.008080622270871472,0.07723069454784438,0,1
"Mean Pooling, 4L, d_model=256, 8H, d_ff=1024",1,0.102,0.0546,0,0
"Mean Pooling, 4L, d_model=256, 8H, d_ff=1024",2,0.031,0.0561,1,0
"Mean Pooling, 4L, d_model=256, 8H, d_ff=1024",3,0.0153,0.0624,0,0
"Mean Pooling, 4L, d_model=256, 8H, d_ff=1024",4,0.0072,0.079,0,0
"Mean Pooling, 4L, d_model=256, 8H, d_ff=1024",5,0.0039,0.0922,0,0
"Mean Pooling, 4L, d_model=256, 8H, d_ff=1024",6,0.0028,0.0937,0,0
"Mean Pooling, 4L, d_model=256, 8H, d_ff=1024",7,0.0018,0.1125,0,0
"Mean Pooling, 4L, d_model=256, 8H, d_ff=1024",8,0.0017,0.1133,0,1
